benchmark,flags,nodes,edges
vorbis,aflplusplus_ast_f0,9781,17762
vorbis,aflplusplus_ast_f1,10322,18475
vorbis,aflplusplus_ast_f1,9781,17762
vorbis,aflplusplus_ast_o0,9031,15228
vorbis,aflplusplus_ast_o1,10578,18544
vorbis,aflplusplus_ast_o2,12517,21892
vorbis,aflplusplus_ast_o3,13060,23534
vorbis,aflplusplus_ast_o3_lto,13060,23534
vorbis,aflplusplus_ast_o3_lto,9781,17762
vorbis,aflplusplus_ast_o3_native,13559,24207
vorbis,aflplusplus_ast_opt_disable,6468,11441
vorbis,aflplusplus_ast_opt_l1,6468,11441
lcms,aflplusplus_ast_o3,18474,33714
lcms,aflplusplus_ast_f1,16541,30389
lcms,aflplusplus_ast_o1,16717,30779
lcms,aflplusplus_ast_o0,16141,28548
lcms,aflplusplus_ast_f0,15185,28489
lcms,aflplusplus_ast_o2,17729,32178
libhtp_fuzz,aflplusplus_ast_o3,71346,159688
libhtp_fuzz,aflplusplus_ast_o2,70617,157558
libhtp_fuzz,aflplusplus_ast_o1,71230,158917
libhtp_fuzz,aflplusplus_ast_o0,99602,215474
libhtp_fuzz,aflplusplus_ast_f1,71004,158878
libhtp_fuzz,aflplusplus_ast_f0,70495,157607
curl_curl,aflplusplus_ast_f1,152076,299535
curl_curl,aflplusplus_ast_o1,157351,302794
libpng,aflplusplus_ast_o0,16994,40799
libpng,aflplusplus_ast_f1,16402,40383
libpng,aflplusplus_ast_o3,17256,41794
libpng,aflplusplus_ast_f0,16203,40187
libpng,aflplusplus_ast_o1,16498,40879
libpng,aflplusplus_ast_o2,17121,41503
pdf_fuzzer,aflplusplus_ast_o0,628962,1442375
pdf_fuzzer,aflplusplus_ast_o1,618838,1418555
pdf_fuzzer,aflplusplus_ast_f0,622792,1422600
pdf_fuzzer,aflplusplus_ast_f1,628962,1442375
bloaty,aflplusplus_ast_f1,241480,478768
bloaty,aflplusplus_ast_o2,249338,489229
bloaty,aflplusplus_ast_f0,245820,486816
bloaty,aflplusplus_ast_o0,249338,489229
jsoncpp,aflplusplus_ast_opt_l1,37827,83528
jsoncpp,aflplusplus_ast_o3_native,37827,83528
jsoncpp,aflplusplus_ast_opt_disable,37827,83528
libjpeg,aflplusplus_ast_o3_native,33466,68508
libpcap,aflplusplus_ast_f1,17038,34365
libpcap,aflplusplus_ast_f0,12010,22582
libpcap,aflplusplus_ast_o0,13495,24337
libpcap,aflplusplus_ast_o2,21240,39149
libpcap,aflplusplus_ast_o3,18007,36457
libpcap,aflplusplus_ast_o1,16874,31699
libhtp_fuzz,aflplusplus_ast_o3,71346,159688
libhtp_fuzz,aflplusplus_ast_o2,70617,157558
libhtp_fuzz,aflplusplus_ast_o1,71230,158917
libhtp_fuzz,aflplusplus_ast_o0,99602,215474
libhtp_fuzz,aflplusplus_ast_f1,71004,158878
libhtp_fuzz,aflplusplus_ast_f0,70495,157607
libhtp_fuzz,aflplusplus_ast_o3,71346,159688
libhtp_fuzz,aflplusplus_ast_o2,70617,157558
libhtp_fuzz,aflplusplus_ast_o1,71230,158917
libhtp_fuzz,aflplusplus_ast_o0,99602,215474
libhtp_fuzz,aflplusplus_ast_f1,71004,158878
libhtp_fuzz,aflplusplus_ast_f0,70495,157607
freetype,aflplusplus_ast_opt_l1,52160,102668
freetype,aflplusplus_ast_opt_disable,52160,102668
freetype,aflplusplus_ast_o3_native,64237,122023
vorbis,aflplusplus_ast_opt_l1,6468,11441
vorbis,aflplusplus_ast_o3_native,13559,24207
vorbis,aflplusplus_ast_opt_disable,6468,11441
lcms,aflplusplus_ast_o3_native,19178,34806
lcms,aflplusplus_ast_opt_disable,12660,24065
lcms,aflplusplus_ast_opt_l1,12660,24065
harfbuzz,aflplusplus_ast_o3_native,25216,42284
harfbuzz,aflplusplus_ast_opt_l1,20020,37879
harfbuzz,aflplusplus_ast_opt_disable,20020,37879
freetype,aflplusplus_ast_o0,60764,115473
freetype,aflplusplus_ast_o3,62715,119553
freetype,aflplusplus_ast_f0,53310,104516
freetype,aflplusplus_ast_o1,60192,114868
freetype,aflplusplus_ast_o2,60764,115473
freetype,aflplusplus_ast_f1,59389,113670
bloaty,aflplusplus_ast_opt_l1,123695,128188
bloaty,aflplusplus_ast_opt_disable,246327,487627
libpcap,aflplusplus_ast_o3_native,18148,36640
stb_stbi,aflplusplus_ast_f0,63416,138517
stb_stbi,aflplusplus_ast_o2,64407,140841
stb_stbi,aflplusplus_ast_o0,75005,162916
stb_stbi,aflplusplus_ast_o3,65267,128527
stb_stbi,aflplusplus_ast_f1,64537,142666
stb_stbi,aflplusplus_ast_o1,64153,140170
libpng,aflplusplus_ast_opt_disable,14471,37347
libpng,aflplusplus_ast_opt_l1,14471,37347
libpng,aflplusplus_ast_o3_native,17825,42726
